song_names , artist_names
Adios Anita , Henri Salvador
At Keith and Anita , Carla Bruni
The kid Anita , Pascale Audret
Anita's salsa , Annie Cordy
Anja , Amir
Ann Koran , Nanette Workman
Song for Ann , Ann Gaytan
Hey Miss Ann , Eddy Mitchell
Lady Ann , Louis Bertignac
Miss Ann , Michel Pagliaro
Anna , The 5 Gentlemen
Anna , Lucio Battisti
Anna , Blankass
Anna , Daphne
Anna , Fire! Chatterton
Anna , Lucien Hétu
Anna , Kaolin
Anna , Keith Kouna
Anna , Lilicub
Anna , Jeanne Mas
Anna , Mosquito
Anna , Claude Nougaro
Anna , Tom November
Anna , The Eye in the Retro
Anna , Pierre Perret
Anna , Alys Robi
Anna , Phone
Anna , Michel Tonnerre
Anna the beautiful , Jeanne Moreau
Anna correct , Marianne Oswald
Anna and Julien , Mireille Mathieu
Anna Lee sun , Nolwen
Anna and the Piranhas , Alain Schneider
Anna came back , Ringo
Anna and Julien , Mireille Mathieu
Anna song , Lucid Beausonge
Anna Thommy , Rue d'la Gouaille
Anna's boa , Maurice Reverdy
Anna's song , Karin Clercq
Song for Anna , Claude Ciari
Song for Anna , Luce Dufault
Song for Anna , Daniel Guichard
The song for Anna , The Companions of the song
The Chronicles of Anna , Chet
Lady Anna , Marie Laforêt
Granny Anna , Pierre Perret
Requiem for Anna , Serge Gainsbourg
Roses for Anna , Michèle Arnaud
Anna's Eyes , Nelson Minville
Anna Dora , Bell Eye
Anna Livia , Lola Lafon
Anna Liz , Liz Van Deuq
Anna Malia , Michel Louvain
Anna Roma , Zaniboni
Annabel , Sylvie Vartan
Annabella , Pascal Danel
Annabelle , Antoine
Annabelle , Belladonna 9ch
Annabelle , Jimmy Hunt
Annabelle , Roger Lahaye
Annabelle , Michel Mallory
Annabelle , David Martial
Annabelle , Pascal Obispo
Annabelle , René Simard
Annabelle of Manchester , Mouloudji
Annabelle or Anaïs , Anaïs
Anna Annabelle , The Wild Cats
Théophile and Annabelle , Geneviève Laloy
Anne , Delphine Coutant
Anne , Nino Ferrer
Anne , The Hams
Anne , Lynda Lemay
Anne , Mononc 'Serge
Anne archives , Dany
Anne at home , Albert Marcœur
Anne of the Wolves , Daniel Facérias
Anne in addition to finish , Sacha Distel
Anne and Louise , Patrick Fiori
Anne and I , Indochina
Anne and her brother , Arbon
Anne Gervais , Pauline Julien
To Anne , Georges Chelon
Duchess Anne , Roberwan and Clarisse Lavanant
Lady Anne , Frank Michael
Louise and Anne , The Marvelous Pig Noise
Madame Anne , Michèle Bernard with Anne Sylvestre
Miss Anne , Mitsou
My sister Anne , Michel Valette
Sister Anne , Richard Anthony
Anne Karine , Anna Karina
Annette , Normand L'Amour
My sweet Annette , Jacques Douai
The marriage of Patrick and Annick , Boulbar
Tit Annick , Stéphan Reggiani
Annie , The Louis' Trio Affair
Annie , Fanny Bloom
Annie , Joël Favreau
Annie , Pierpoljak
Annie , Bertrand Sansonetti
Annie , Émilie Simon
Annie , Alain Turban
Annie , Urban
Annie Annie, Claude Engel
Annie lie down there , Claude Nougaro
Annie from last year , Joe Dassin
Annie gives , France Gall
Annie my little friend , Charlélie Couture
Annie Martin , Chantal Grimm
Annie wants peace , Michel Jeanneret
The friend of Annie , Steve Waring
Song for Annie , Philippe Katerine
Chez Annie , Les Petites Tounes
Annie's boyfriend , Plume Latraverse
Iceberg Annie , Antoine
Letter for Annie , Annie Philippe
Madame Annie , Graziella by Michele
Madame Annie , Jacques Yvart
Oh ! Annie , Herbert Léonard
We keep Annie , Amélie Morin
We wrote Annie , Alain Turban
Saturday with Annie , Patricia
Your little Annie , Annie Philippe
Find Annie , Michel Pagliaro
Annou dance , Dominique Dimey
Anouchka , Élisabeth Caumont
Anouchka , André Dassary
Anouchka , Rudy Hirigoyen
Anouchka , Suzane
Anouk , Jean Falissard
The peregrinations of Anselme , Jacques Martin
Antigone , Karin Clercq
Antigone , Loco Locass
The concerns of Antime , Jacques Martin
Antinea , Alain Barrière
Antoine , Michel Berger
Antoine , Travis Bürki
Antoine , Yelo Molo
Antoine 88 , The Children of La Riche and Alain Moisan
Antoine is like that , Henri Genès
Dear Antoine , Claude Blanchard
At mother Antoine , Lucie Daullène
Les Élucubrations d ' Antoine , Antoine
My name is Antoine , Pierre Létourneau
I believe Antoine , Dominic Sonic
Poor Antoine , Charles Trenet
For Antoine , Mannick
On Antoine Hill , Geneviève Laloy
The life of Antoine , Florent Richard
Antoinette , Grand Jojo
Antoinette @cul , Christian Décamps
Amar and Antoinette , Mouron
My year with Antoinette , Gérard Morel
The rantings of Antoinette , Robert Castel and Lucette Sahuquet
We marry Antoinette , André Perchicot
Antonia , Dominica A
Antonia's chocolate , Marcel Kanche
Antonin , Bourvil
Antonin , Dominique Dimey
Antonin the shark , Annie Broccoli
Antonin's advice , Vincent Malone
Antonio , Andrex
Antonio , Nathalie Cardone
Antonio , Daniel Fernandez
Antonio , Happy Urban
Antonio , My ancestors
Antony , The Pink Pistols
Cursed Aphrodite , Jeanne Mas
Apollonia , Mellino
Arabella , Caroline Cler
Aretha and I , Axelle Red
Argentina , Isabelle Aubret
Argentina , Paul Brunelle
Argentina , Alain Chamfort
Argentina , Yves Duteil
Argentina , Monique Leyrac
Argentina , Luis Mariano
Argentina , Serge Reggiani
In the night of Argentina , Pierre Malar
Aria , Claude Ciari
Aria , Isabelle Roy
Ariana , Pierre Flynn
Ariane , Jean Ferrat
Ariane , Didier Odieu
Ariane , millionaire weekend
To Ariane , Gabby Marchand
Ariette and Haydn , Alain Chamfort
Arletta , Au P'tit Bonheur
Arlette and José , Michel Vivoux
Arlette Laguiller but Arlette, Alain Souchon
Arlette sauce , Luc Léandry
Armand , Les Elles
Armand , Siméo
Armand , Pierre Vassiliu
Armand is dead , MC Solaar
Armand and Juliette , Claude Léveillée
Armand plays the violin , Catherine Sauvage
Armand's boat , Mathé Altéry
At the mount of old Armand , Pierre Louki
For Arnaud , Jacques Yvart
Arnold and Willy , Wolfunkind
Concerto for Arnould , Maurane
L ' Arsène , Jacques Dutronc
L ' Arsène , Fernand Gignac
At Arsène , Michel Boutet
Arthimise marries the beadle , Angèle Arsenault
Arthur , Maurice Chevalier
Arthur , Dionysus
Arthur , Jacques Douai
Arthur , The Butchers Boys
Arthur , Michel Jonasz
Arthur , Claude Léveillée
Arthur , Mama Béa Tekielski
Arthur , Michel Thériault
Arthur , Steve Waring
Arthur the fry , Christian Marin
Arthur's Injury , Alan Stivell
Mon p'tit Arthur , Stéphanie de Malakoff
Uncle Arthur and I , William Sheller
Papa Arthur , Angèle Arsenault
Prince Arthur , Heart of a Pirate
Prince Arthur , Louise Forestier
Blue Sun , The Dogs
The Cow Arthur , Edgar Bori
Asher , ACWL
Assia , Polo
Astrid , Odors
Astrid , Les Poubelles Boys
Atahualpa , Sapho
Athena , ACWL
Attila , Bouskidou
Attila is there , Café Bertrand
Attila is there , Henri Salvador
The tavern of Attilio , Félix Marten
Dawn , Claude Amelot
Dawn , Jacques Douai
Dawn , Kirjuhel
Dawn , Noah Willer
Hawthorn , Jehan
Hawthorn , Ycare
Portrait of Aude , Jacques Bertin
Audrey Naline , Annie Dufresne
Augusta , Yves Matrat
Augustus the cat , Stone
Lady Auguste , Étienne Grandjean
We're looking for an Auguste , Edith Piaf
Auguste Gustave , Plume Latraverse
Augustin and Anita , Daran
Martin and Augustin , Anne Sylvestre
Augustine , Olivier Mottet
Augustine and Augustin , Charles and Johnny
Gustine oh! Gustine , Les Charlots
Aurelia , Angel
Aurélia , Martine Caplanne
Aurélia , Justin
Aurelia , Guy Mardel
Aurélia , Mickey 3D
Aurélia , Stéphan Reggiani
Aurelia , Wally
Aurélie ,Colonel Reyel
Aurélie , Corinne Sinclair
Aurélie , Stiff Heads
Song for Aurélie , Tom Poisson
My beautiful Aurélie , Michel Laurent
Aurélien's song , Jann Halexander
Aurely , vulgar beauties
Aurore , Grand Blanc
Aurore , Elaine Kibaro
Aurore , Keith Kouna
Aurore , Jeanne Mas
Aurore , Pépé and his guitar
Aurore , Pierre Rapsat
Aurore , Marc Seberg
Aurore , Alain Souchon
Aurore , Silvain Vanot
Aurore la punk , Lucien Francœur
It's party time for Aunt Aurore , Fernandel
Little Aurora's song , Marén Berg
The wonderful Aurore , Jean Dréjac
Autumn , Catherine Delasalle
Ava , Heart of a Pirate
The last days of Ava , Élisa Point
Awa , Pierpoljak
Ayouna , Christian Ferrari
The song of Azima , France Gall
The Aziza is in tears , Lara Fabian
Babacar ,France Gall
Babeth , David Christie
The adventures of Babeth Oven , Jacques Haurogné
Ok Babette , Le Beau Lac de Bâle
Mademoiselle Babette , Happy Coconut Tree
The santons of Babette , Franck Fernandel
Babine and Babin , Plume Latraverse
Baïa , Matthieu Chedid
Bahia , Bertrand Gosselin
Baltazar , Mannick
Balthazar , Bernard Lavilliers
Balthazar , Emily Loizeau
Balthazar , Max Rongier
At the Balthazar bazaar , Françoise Kucheida
The house of Balthazar , Pierre Chêne
Bambinella , Tino Rossi
Bamboo , Michel Pagliaro
Bamboo , Hugues Aufray
Bamboo , Alain Chamfort
Bamboo , Jenifer
Bambou touches everything , Fabienne Guyon
Baptiste , Michèle Arnaud
Baptiste , Stone
Baptiste , Anne Sylvestre
Baptist of Wonders , Hélène Martin
Baptistin , Alibert
Barbara , Marcel Amont
Barbara , Pierre Bellemare
Barbara , Bïa
Barbara , Chet
Barbara , Enzo Enzo with C. Steiner Ressaire
Barbara , Group without gain
Barbara , Pierre Lapointe
Barbara , Nery
Barbara , Christian Olivier
Barbara , The Tit 'Nassels
Barbara Baloune , Louise Portal
Barbara Barbarella , Claude Morgan
Barbara de Kalvalid , Dominique A
Barbara strip , Valérie Mischler
To Barbara , Didier Barbelivien
Bye bye Barbara , Régine
Song for Barbara , Mouloudji
Barbara's song , Cora Vaucaire
Forget Barbara , Robert Cogoi
Barbara's organ , Serge Lama
Swann and Barbara , Bernard Degavre
An orgy of Barbara , Diane Juster
Barbarella , Jean Vasca
Barbara Barbarella , Claude Morgan
But remember Barbarella , Robert Charlebois
Barberine , Nino Ferrer
My beautiful Barbie , The Brothers at Ch'val
Barnabas , Fernandel
Barnabas , Mort Shuman
Barnabas song , Marina Céleste
Mon p'tit Barnabé , Rose Ouellette
Bart fishing for shellfish , La Blanche
Basile , Travis Bürki
Basile , Éric Guilleton
Basil , David Martial
Little Basil , Yves Albert
Bastien's zizi , Jehan
Béatrice , Luc and Lise
Beatrice , Guy Marchand
Beatrice , Béa Tristan
Bella Beatrice , Chtriky
Passion for Béatrice , Marcel and his Orchestra
Reel Béatrice , La Bottine Souriante
Beatrist , Sttellla
Bébert , April March
Bébert , Jacques Normand
Bébert the dromedary , Au Bonheur des dames
Mr. Bébert , Georgius
Mr. Bébert , Pierre Vassiliu
Bécassine , Michel Delpech
Bécassine ,Chantal Goya
Bécassine , Juliette Gréco
The jig at Bécassine , Le Rêve du Diable
Madame Bécassine , Antoine
Bélinda , Julien Clerc
Bélinda , Georges Guétary
Patrick and Beline , Mélusine
Bella , Étienne Drapeau
Bella , Master Gims
Bella , Kendji Girac
Bella , Jean Guidoni
Bella , Laurence Jalbert
Belle , David Christie
Beautiful , Christophe
Beautiful , Garou
Belle , Gérard Jaffrès
Beautiful , Anna Karina
Belle , Daniel Lavoie
Beautiful , Laymen Twaist
Belle and Sébastien , Mehdi
Belle and Sebastiane , Indochina
Ben , Maurane
Ben , The Skalopes
Ben Dupont , Henri Génès
As Ben would have said , Dominique A
The lament of Ben , Pierre Barouh
Bénédicte , Philippe Forcioli
Benito , Free Sangria
Benjamin , Isabelle Aubret
Benjamin , Celine Dion
Benjamin , Florent Marchet
Benjamin , Marianne Mille
Benjamin Lafleur , Jacques Vérières
Hope Benjamin , Rémo Gary
What Benoist , Jacques Bertin says
Benoît , Gwendal
Benoît Giga Spidou , ZUT
Benoît Thomazeau , Michel Boutet
Poor Benoît , Hugues Aufray
Sacred Benoît , Jacques Mercier
Don't worry Benoît , Benoît Blue Boy
Benoîte , Anne Sylvestre
Berenice , Juliette Gréco
Bérénice , Oldelaf and Monsieur D
Bernabé , Fred Gouin
Bernadette , Michèle Bernard
Bernadette , François Bernheim
Bernadette , Claude Francois
Bernadette , Samarabalouf
Bernadette , Free Sangria
Bernadette , Philippe Val
Bernadette does not like children , Romain Dudek
Bernadette's complaint , André Dassary
O Bernadette , Tino Rossi
Little Bernadette , Alain Nancey
The Turtle by Bernadette , Mannick and Jo Akepsimas
Valse Bernadette , La Bottine Souriante
Bernard , Sarclo
Bernard the elephant , Steve Waring
Hermit Bernard blues , Maurice Reverdy
Bernard the bear , Les Binuchards
It's good Bernard , Chantal Goya
Song for Bernard , Dominique Dimey
And then Bernard , Billy Nencioli
Hélène and Bernard , Bill Deraime
Thank you Bernard , The Guimard Delaunay Process
My friend Bernard , The Beautiful Lake of Basel
Mr. Bernard , Michel Fugain
Bernardo , Lo'jo
Bernardo's song , George Chakiris
Bert and I , Steve Waring
Bertha , Jean Leloup
Berthe and Jeannot , Georges Chelon
Farewell Berthe , Mouloudji
Farewell Berthe ! , Pierre Perrin
B like Berthe , Standing on the Zinc
The song of Bertille , Anne Sylvestre
Bertrand stole , Pierre Chêne
Good morning Madame Bertrand , Jack Defer
Madame Bertrand , Guylaine Guy
Madame Bertrand , Pierre Perret
Madame Bertrand , Gaby Verlor
Please Bertrand , Annie Cordy
Betti 1 , Merzhin
Bettina , Jacques Helian
Betty , The Alligators
Betty , Marén Berg
Betty , Julien Heurtebise with Marie La Rouge
Betty , Bernard Lavilliers
Betty , Mannick
Betty , Nolwen
Betty , Pigalle
Betty , Pascal Rinaldi
Betty , Damien Saez
